__time,/psm_joint_telemetry/roll/position,/psm_joint_telemetry/roll/velocity
1746445280.80572,-0.003000498,-9
1746445280.81616,-0.003000498,-9
1746445280.82656,-0.003000498,-9
1746445280.83704,-0.003000498,-9
1746445280.8475,-0.003000498,-9
1746445280.85792,-0.003000498,-9
1746445280.86836,-0.003000498,-9
1746445280.87896,-0.003000498,-9
1746445280.88939,-0.003000498,-9
1746445280.89991,-0.003000498,-9
1746445280.91037,-0.003000498,-9
1746445280.92085,-0.003000498,-9
1746445280.93122,-0.003000498,-9
1746445280.94181,-0.003000498,-9
1746445280.95224,-0.003000498,-9
1746445280.96264,-0.003000498,-9
1746445280.97303,-0.003000498,-9
1746445280.9835,-0.003000498,-9
1746445280.99417,-0.003000498,-9
1746445281.00457,-0.003000498,-9
1746445281.01494,-0.003000498,-9
1746445281.0254,-0.003000498,-9
1746445281.03586,-0.003000498,-9
1746445281.0463,-0.003000498,-9
1746445281.05691,-0.003000498,-9
1746445281.06729,-0.003000498,-9
1746445281.07778,-0.003000498,-9
1746445281.08836,-0.003000498,-9
1746445281.09897,-0.003000498,-9
1746445281.10951,-0.003000498,-9
1746445281.12,-0.003000498,-9
1746445281.13048,-0.003000498,-9
1746445281.14097,-0.003000498,-9
1746445281.15159,-0.003000498,-9
1746445281.16205,-0.003000498,-9
1746445281.17251,-0.003000498,-9
1746445281.18296,-0.003000498,-9
1746445281.19346,-0.003000498,-9
1746445281.20411,-0.003000498,-9
1746445281.21464,-0.003000498,-9
1746445281.22514,-0.003000498,-9
1746445281.23568,-0.003000498,-9
1746445281.24618,-0.003000498,-9
1746445281.2568,-0.003000498,-9
1746445281.26728,-0.003000498,-9
1746445281.27777,-0.003000498,-9
1746445281.28825,-0.003000498,-9
1746445281.29871,-0.003000498,-9
1746445281.30927,-0.003000498,-9
1746445281.31984,-0.003000498,-9
1746445281.33029,-0.003000498,-9
1746445281.34083,-0.003000498,-9
1746445281.35143,-0.003000498,-9
1746445281.36207,-0.003000498,-9
1746445281.37255,-0.003000498,-9
1746445281.38305,-0.003000498,-9
1746445281.39354,-0.003000498,-9
1746445281.40408,-0.003000498,-9
1746445281.41455,-0.003000498,-9
1746445281.42508,-0.003000498,-9
1746445281.43553,-0.003000498,-9
1746445281.44601,-0.003000498,-9
1746445281.45654,-0.003000498,-9
1746445281.46711,-0.003000498,-9
1746445281.47754,-0.003000498,-9
1746445281.48806,-0.003000498,-9
1746445281.49862,-0.003000498,-9
1746445281.5091,-0.003000498,-9
1746445281.51958,-0.003000498,-9
1746445281.52998,-0.003000498,-9
1746445281.54044,-0.003000498,-9
1746445281.55106,-0.003000498,-9
1746445281.5616,-0.003000498,-9
1746445281.57211,-0.003000498,-9
1746445281.58268,-0.003000498,-9
1746445281.59315,-0.003000498,-9
1746445281.6037,-0.003000498,-9
1746445281.6142,-0.003000498,-9
1746445281.62471,-0.003000498,-9
1746445281.63522,-0.003000498,-9
1746445281.64565,-0.003000498,-9
1746445281.65621,-0.003000498,-9
1746445281.66673,-0.003000498,-9
1746445281.67723,-0.003000498,-9
1746445281.68774,-0.003000498,-9
1746445281.69823,-0.003000498,-9
1746445281.70886,-0.003000498,-9
1746445281.71937,-0.003000498,-9
1746445281.72981,-0.003000498,-9
1746445281.74034,-0.003000498,-9
1746445281.75106,-0.003000498,-9
1746445281.76154,-0.003000498,-9
1746445281.77206,-0.003000498,-9
1746445281.78263,-0.003000498,-9
1746445281.79326,-0.003000498,-9
1746445281.80388,-0.003000498,-9
1746445281.81441,-0.003000498,-9
1746445281.82498,-0.003000498,-9
1746445281.83559,-0.003000498,-9
1746445281.84614,-0.003000498,-9
1746445281.85679,-0.003000498,-9
1746445281.86729,-0.003000498,-9
1746445281.87785,-0.003000498,-9
1746445281.88841,-0.003000498,-9
1746445281.89901,-0.003000498,-9
1746445281.90968,-0.003000498,-9
1746445281.92022,-0.003000498,-9
1746445281.93068,-0.003000498,-9
1746445281.94129,-0.003000498,-9
1746445281.95183,-0.003000498,-9
1746445281.96244,-0.003000498,-9
1746445281.97302,-0.003000498,-9
1746445281.98356,-0.003000498,-9
1746445281.99405,-0.003000498,-9
1746445282.00468,-0.003000498,-9
1746445282.01525,-0.003000498,-9
1746445282.02588,-0.003000498,-9
1746445282.0365,-0.003000498,-9
1746445282.04701,0.006000996,-9
1746445282.05766,0.006000996,-9
1746445282.06829,0.006000996,-9
1746445282.07887,0.006000996,-9
1746445282.08947,0.006000996,-9
1746445282.10003,0.006000996,-9
1746445282.11067,0.006000996,-9
1746445282.12123,0.006000996,-9
1746445282.13181,0.006000996,-9
1746445282.14236,0.006000996,-9
1746445282.15299,0.006000996,-9
1746445282.16356,0.006000996,-9
1746445282.17413,0.006000996,-18
1746445282.18469,0.0240013,-18
1746445282.1952,0.041998923,-18
1746445282.20578,0.069000721,-18
1746445282.21626,0.095999837,-18
1746445282.22694,0.114000142,-18
1746445282.23751,0.140999258,-18
1746445282.24809,0.158999562,-18
1746445282.2588,0.176999867,-18
1746445282.2693,0.195000172,-18
1746445282.27993,0.213000476,-18
1746445282.29074,0.231000781,-18
1746445282.30131,0.249001086,-18
1746445282.31191,0.266998708,-18
1746445282.32248,0.294000506,-18
1746445282.33317,0.312000811,-18
1746445282.34371,0.347998738,-18
1746445282.35432,0.375000536,-18
1746445282.36489,0.419999957,-18
1746445282.37547,0.464999378,-18
1746445282.38602,0.527999103,-18
1746445282.39669,0.590998828,-18
1746445282.40722,0.663000047,-18
1746445282.41784,0.725999773,-18
1746445282.42842,0.788999498,-18
1746445282.43902,0.861000717,-18
1746445282.44965,0.932999253,-18
1746445282.46024,1.005000472,-18
1746445282.4708,1.076998949,-18
1746445282.48136,1.139998674,-18
1746445282.49189,1.203001142,-18
1746445282.50253,1.274999619,-18
1746445282.51307,1.355999708,-18
1746445282.52365,1.436999798,-18
1746445282.53419,1.509001017,-18
1746445282.5448,1.590000987,-18
1746445282.55534,1.671000957,-18
1746445282.56584,1.760999918,-18
1746445282.57637,1.860000134,-18
1746445282.58701,1.967999339,-18
1746445282.59754,2.085000038,-18
1746445282.60802,2.192999125,-18
1746445282.61854,2.309999704,-18
1746445282.629,2.427000523,-18
1746445282.63963,2.534999609,-18
1746445282.65019,2.652000189,-18
1746445282.66063,2.759999275,-18
1746445282.67119,2.868001223,-18
1746445282.68167,2.98499918,-18
1746445282.69223,3.083999395,-18
1746445282.70283,3.192001343,-18
1746445282.71338,3.3089993,-18
1746445282.72398,3.417001009,-18
1746445282.73452,3.533998966,-18
1746445282.74509,3.650999546,-18
1746445282.7557,3.768000364,-18
1746445282.76626,3.903001308,-18
1746445282.77678,4.03799963,-18
1746445282.78728,4.173000336,-18
1746445282.79795,4.307998657,-18
1746445282.80852,4.44299984,-18
1746445282.81915,4.56899929,-18
1746445282.82968,4.695001125,-18
1746445282.84027,4.821000576,-18
1746445282.85095,4.938001156,-18
1746445282.86154,5.054999352,-18
1746445282.87209,5.16300106,-18
1746445282.88272,5.279999256,-18
1746445282.89329,5.396999836,-18
1746445282.90401,5.514000416,-18
1746445282.91463,5.631000996,-18
1746445282.92513,5.757000446,-18
1746445282.93574,5.882999897,-18
1746445282.94629,6.008999348,-18
1746445282.95697,6.125999928,-18
1746445282.96753,6.251999378,-18
1746445282.97795,6.377998829,-18
1746445282.98852,6.494999409,-18
1746445282.99908,6.620998859,-18
1746445283.00961,6.737999439,-18
1746445283.02027,6.855000496,-18
1746445283.03082,6.962999344,-18
1746445283.04135,7.071001053,-18
1746445283.05188,7.179000378,-18
1746445283.06241,7.286999702,-18
1746445283.07305,7.404000282,-18
1746445283.08365,7.51199913,-18
1746445283.09417,7.62899971,-18
1746445283.10472,7.746000767,-18
1746445283.11526,7.863001347,-18
1746445283.12584,7.979999065,-18
1746445283.13637,8.088001251,-18
1746445283.14688,8.196000099,-18
1746445283.15753,8.303998947,-18
1746445283.16806,8.412000656,-18
1746445283.17868,8.510998726,-18
1746445283.18934,8.619000435,-18
1746445283.20006,8.726999283,-18
1746445283.21053,8.834999084,-18
1746445283.22117,8.925000191,-18
1746445283.23163,9.032999992,-18
1746445283.24239,9.14099884,-18
1746445283.25302,9.249000549,-18
1746445283.26357,9.356999397,-18
1746445283.2742,9.464999199,-18
1746445283.28476,9.573000908,-18
1746445283.29542,9.690001488,-18
1746445283.306,9.798000336,-18
1746445283.31667,9.897001266,-18
1746445283.32732,9.996001244,-18
1746445283.33794,10.09499836,-18
1746445283.34865,10.18500042,-18
1746445283.35924,10.274999619,-18
1746445283.36979,10.365000725,-18
1746445283.38037,10.454999924,-18
1746445283.39097,10.54500103,-18
1746445283.4017,10.635000229,-18
1746445283.41229,10.724998474,-18
1746445283.423,10.805998802,-18
1746445283.43361,10.895999908,-18
1746445283.4442,10.985999107,-18
1746445283.45475,11.076000214,-18
1746445283.46539,11.175001144,-18
1746445283.47601,11.256000519,-18
1746445283.48665,11.345999718,-18
1746445283.49728,11.435998917,-18
1746445283.50789,11.516998291,-18
1746445283.5187,11.597998619,-18
1746445283.52928,11.670000076,-18
1746445283.54005,11.742001534,-18
1746445283.55071,11.81400013,-18
1746445283.56129,11.886000633,-18
1746445283.57205,11.957999229,-18
1746445283.58269,12.038999557,-18
1746445283.59327,12.111001015,-18
1746445283.60398,12.192000389,-18
1746445283.61458,12.263998985,-18
1746445283.62532,12.336000443,-18
1746445283.63605,12.407999039,-18
1746445283.64666,12.480000496,-18
1746445283.65733,12.551999092,-18
1746445283.66799,12.615001678,-18
1746445283.67864,12.678001404,-18
1746445283.68934,12.741001129,-18
1746445283.70006,12.804000854,-18
1746445283.71063,12.858001709,-18
1746445283.72128,12.903000832,-18
1746445283.73193,12.947999954,-18
1746445283.7426,12.993000031,-18
1746445283.75331,13.037999153,-18
1746445283.76385,13.083001137,-18
1746445283.77452,13.128000259,-18
1746445283.78507,13.173000336,-18
1746445283.79578,13.217999458,-18
1746445283.80637,13.262998581,-18
1746445283.81699,13.308000565,-18
1746445283.82757,13.353000641,-18
1746445283.83812,13.389000893,-18
1746445283.84865,13.424999237,-18
1746445283.85927,13.460999489,-18
1746445283.86987,13.496999741,-18
1746445283.88045,13.533000946,-18
1746445283.89109,13.551000595,-18
1746445283.90174,13.578000069,-18
1746445283.91232,13.58699894,-18
1746445283.92294,13.596000671,-18
1746445283.93348,13.596000671,-18
1746445283.94404,13.604999542,-18
1746445283.95473,13.604999542,-18
1746445283.96527,13.604999542,-18
1746445283.97591,13.61400032,-18
1746445283.98663,13.61400032,-18
1746445283.99719,13.61400032,-18
1746445284.00781,13.61400032,-18
1746445284.01843,13.61400032,-18
1746445284.029,13.61400032,-18
1746445284.03958,13.61400032,-18
1746445284.05037,13.61400032,-18
1746445284.06094,13.61400032,-18
1746445284.07149,13.61400032,-18
1746445284.08203,13.604999542,-18
1746445284.09267,13.604999542,-18
1746445284.10329,13.596000671,-18
1746445284.11398,13.596000671,-18
1746445284.12459,13.58699894,-18
1746445284.13518,13.58699894,-18
1746445284.1458,13.578000069,-18
1746445284.15641,13.569001198,-18
1746445284.16708,13.559999466,-18
1746445284.17768,13.551000595,-18
1746445284.18837,13.541999817,-18
1746445284.19899,13.541999817,-18
1746445284.20955,13.541999817,-18
1746445284.22017,13.541999817,-18
1746445284.23077,13.541999817,-18
1746445284.24136,13.541999817,-18
1746445284.25197,13.541999817,-18
1746445284.26253,13.541999817,-18
1746445284.27317,13.541999817,-18
1746445284.28383,13.541999817,-18
1746445284.29449,13.541999817,-18
1746445284.30512,13.541999817,-18
1746445284.3157,13.541999817,-18
1746445284.32625,13.541999817,-18
1746445284.33687,13.541999817,-18
1746445284.34755,13.541999817,-18
1746445284.3581,13.541999817,-18
1746445284.36863,13.541999817,-18
1746445284.37922,13.541999817,-18
1746445284.38989,13.541999817,-18
1746445284.40049,13.541999817,-18
1746445284.41105,13.541999817,-18
1746445284.42168,13.541999817,-18
1746445284.43217,13.541999817,-18
1746445284.44271,13.541999817,-18
1746445284.45328,13.541999817,-18
1746445284.46383,13.541999817,-18
1746445284.47448,13.541999817,-18
1746445284.48509,13.541999817,-18
1746445284.49571,13.541999817,-18
1746445284.5063,13.541999817,-18
1746445284.51702,13.541999817,-18
1746445284.5276,13.541999817,-18
1746445284.53817,13.541999817,-18
1746445284.54871,13.541999817,-18
1746445284.55926,13.541999817,-18
1746445284.56994,13.541999817,-18
1746445284.58052,13.541999817,-18
1746445284.59105,13.541999817,-18
1746445284.60163,13.541999817,-18
1746445284.61226,13.541999817,-18
1746445284.62296,13.541999817,-18
1746445284.63357,13.541999817,-18
1746445284.64417,13.541999817,-18
1746445284.6547,13.541999817,-18
1746445284.66518,13.541999817,-18
1746445284.67574,13.541999817,-18
1746445284.68637,13.541999817,-18
1746445284.69687,13.541999817,-18
1746445284.70747,13.541999817,-18
1746445284.71803,13.541999817,-18
1746445284.72859,13.541999817,-18
1746445284.73924,13.541999817,-18
1746445284.74985,13.541999817,-18
1746445284.7604,13.541999817,-18
1746445284.77096,13.541999817,-18
1746445284.78151,13.541999817,-18
1746445284.79214,13.541999817,-18
1746445284.80276,13.541999817,-18
1746445284.81331,13.541999817,-18
1746445284.82392,13.541999817,-18
1746445284.83463,13.541999817,-18
1746445284.84529,13.541999817,-18
1746445284.85592,13.541999817,-18
1746445284.86644,13.541999817,-18
1746445284.87696,13.541999817,-18
1746445284.88754,13.541999817,-18
1746445284.89819,13.541999817,-18
1746445284.90879,13.541999817,-18
1746445284.91937,13.541999817,-18
1746445284.93001,13.541999817,-18
1746445284.94065,13.541999817,-18
1746445284.95126,13.541999817,-18
1746445284.96185,13.541999817,-18
1746445284.9724,13.541999817,-18
1746445284.98289,13.541999817,-18
1746445284.99348,13.541999817,-18
1746445285.00407,13.541999817,-18
1746445285.01476,13.541999817,-18
1746445285.02536,13.541999817,-18
1746445285.03594,13.541999817,-18
1746445285.0465,13.541999817,-18
1746445285.05713,13.541999817,-18
1746445285.06776,13.541999817,-18
1746445285.07834,13.541999817,-18
1746445285.08896,13.541999817,-18
1746445285.0995,13.541999817,-18
1746445285.11006,13.541999817,-18
1746445285.12078,13.541999817,-18
1746445285.13137,13.541999817,-18
1746445285.14191,13.541999817,-18
1746445285.15247,13.541999817,-18
1746445285.16393,13.541999817,-18
1746445285.17456,13.541999817,-18
1746445285.18522,13.541999817,-18
1746445285.19599,13.541999817,-18
1746445285.2065,13.541999817,-18
1746445285.21711,13.541999817,-18
1746445285.22773,13.541999817,-18
1746445285.23835,13.541999817,-18
1746445285.24902,13.541999817,-18
1746445285.25962,13.541999817,-18
1746445285.27027,13.541999817,-18
1746445285.28083,13.541999817,-18
1746445285.29143,13.541999817,-18
1746445285.30211,13.541999817,-18
1746445285.31287,13.541999817,-18
1746445285.32351,13.541999817,-18
1746445285.33405,13.541999817,-18
1746445285.3446,13.541999817,-18
1746445285.35523,13.541999817,-18
1746445285.36584,13.541999817,-18
1746445285.37637,13.541999817,-18
1746445285.38694,13.541999817,-18
1746445285.39757,13.541999817,-18
1746445285.40814,13.541999817,-18
1746445285.41869,13.541999817,-18
1746445285.42925,13.541999817,-18
1746445285.4398,13.541999817,-18
1746445285.45028,13.541999817,-18
1746445285.46085,13.541999817,-18
1746445285.47143,13.541999817,-18
1746445285.48193,13.541999817,-18
1746445285.49256,13.541999817,-18
1746445285.5035,13.541999817,-18
1746445285.51405,13.541999817,-18
1746445285.52467,13.541999817,-18
1746445285.53533,13.541999817,-18
1746445285.54598,13.541999817,-18
1746445285.55651,13.541999817,-18
1746445285.56707,13.541999817,-18
1746445285.57766,13.541999817,-18
1746445285.58824,13.541999817,-18
1746445285.59893,13.541999817,-18
1746445285.60948,13.541999817,-18
1746445285.62,13.541999817,-18
1746445285.63065,13.541999817,-18
1746445285.64122,13.541999817,-18
1746445285.65181,13.541999817,-18
1746445285.66235,13.541999817,-18
1746445285.67294,13.541999817,-18
1746445285.68354,13.541999817,-18
1746445285.69411,13.541999817,-18
1746445285.70476,13.541999817,-18
1746445285.71538,13.541999817,-18
1746445285.72593,13.541999817,-18
1746445285.73656,13.541999817,-18
1746445285.74716,13.541999817,-18
1746445285.75775,13.541999817,-18
1746445285.76833,13.541999817,-18
1746445285.77891,13.541999817,-18
1746445285.78949,13.541999817,-18
